name,latitude,longitude,number_of_bikes_avail,empty_slots,total_slots
Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,10,5,15
Marché Maisonneuve,45.55321884238814,-73.53978216648102,5,17,22
Rachel / de Brébeuf,45.52689,-73.57264,20,9,29
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,4,10,15
Cité des Arts du Cirque (Paul Boutet / des Regrattiers),45.55984236120471,-73.61544728279114,21,13,34
Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185,14,3,18
Papineau / Émile-Journault,45.55988367688166,-73.63356828689575,23,10,35
CHSLD St-Michel (8e avenue / Jarry),45.5616903,-73.610512,4,11,15
Chabanel / du Parc,45.53830765459552,-73.6548838019371,5,25,30
Métro Henri-Bourassa (Henri-Bourassa / Millen),45.55675103297278,-73.66716161370277,12,4,16
Calixa-Lavallée / Rachel,45.527831544563064,-73.5719096660614,11,18,30
Marché Jean-Talon (Casgrain / Shamrock),45.53519006163501,-73.61548215150833,19,5,26
Fabrik8 (Waverly / Jean-Talon),45.53330725719417,-73.62082242965698,8,13,21
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.51689731423111,-73.58910799026489,28,4,33
St-Hubert / de Maisonneuve (sud),45.51586835126322,-73.56008380651474,8,10,19
CHSLD Joseph-François-Perrault (St-Michel / Everett),45.55969734528566,-73.60145956277847,12,5,18
Parc Nicolas-Tillemont (des Érables / Villeray),45.55463653358596,-73.61255215771962,13,5,18
Collège de Rosemont (Beaubien / 15e avenue),45.55774990838239,-73.58380123972893,19,6,26
Préfontaine / Marcel-Pépin,45.54365380040509,-73.55942063033581,7,12,19
de Chambly / de Rouen,45.54710313981358,-73.54892447590828,2,9,11
BAnQ (Berri),45.51601387670667,-73.56291957199574,5,9,15
de Gaspé / Marmier,45.529668174024685,-73.60166944563389,10,11,21
La Tour de Montréal (Pierre-de-Coubertin / Bennett),45.55970526805903,-73.55155438184738,0,25,25
Messier / St-Joseph,45.53946063965585,-73.57605636119843,8,8,17
Square Viger (Berri / Viger),45.5121682576952,-73.55481594800949,5,24,29
Dorion / Ontario,45.526991277453526,-73.55821162462234,23,10,35
René-Lévesque / Papineau,45.52097057660443,-73.5499919950962,11,27,39
Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,8,11,19
Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,16,32,49
Métro Place-d'Armes (Viger / St-Urbain),45.50631445605528,-73.55967122894072,3,26,29
Jeanne-Mance / Sherbrooke,45.50928678961862,-73.57101917266846,13,8,25
Métro Laurier (Berri / St-Joseph),45.52723106564012,-73.58672618865965,11,7,18
Métro Frontenac (Ontario / du Havre),45.533705987798946,-73.55217933654784,17,5,23
du Mont-Royal / Clark,45.51941,-73.58685,18,15,35
Place du Canada (Peel / des Canadiens-de-Montréal),45.49788352593901,-73.56856763362885,10,16,26
Gary-Carter / St-Laurent,45.53613488953656,-73.62258464097977,16,19,38
Métro Parc  (Hutchison / Ogilvy),45.53035130173597,-73.6243924498558,24,8,33
René-Lévesque / Panet,45.51862424058306,-73.55219006538391,4,14,19
6e avenue / Villeray,45.55873962047568,-73.60589044634253,14,1,15
des Bassins / du Séminaire,45.49047561880464,-73.56022328138351,12,23,35
St-Jacques / Vinet,45.485328993998365,-73.57692271471024,6,9,15
Métro Lionel-Groulx (St-Jacques / Atwater),45.48295816149219,-73.57975836854166,7,26,33
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),45.554373399819674,-73.55137467384337,22,19,41
du Parc-Lafontaine / Rachel,45.52551168509886,-73.57424452900887,12,7,19
Ste-Catherine / St-Clément,45.55671730558936,-73.53024959564209,1,14,15
de l'Hôtel-de-Ville / Rachel,45.51989655507833,-73.58010649681091,10,2,14
Workman / Vinet,45.483788863965174,-73.5750612616539,14,8,23
Métro Acadie (de l'Acadie / Beaumont),45.52357479400008,-73.62344294786453,10,3,13
Métro Crémazie (Crémazie / Lajeunesse),45.54640752148169,-73.63842844963074,12,3,15
Lajeunesse / Villeray,45.54218173507584,-73.62268656492233,11,4,15
Berri / Rachel,45.52275023118295,-73.57724860310555,16,2,19
Métro Sauvé (Berri / Sauvé),45.550692068419764,-73.65636706352234,9,9,18
Chabanel / Tolhurst,45.540105018786974,-73.65347027778625,6,9,15
Tolhurst / Fleury,45.54407915308118,-73.66735741496086,12,7,19
Métro Sherbrooke (de Rigaud / Berri),45.51814312154928,-73.56800436973572,18,9,27
Marché Atwater,45.48020822800015,-73.57759863138199,11,20,32
Métro St-Laurent ( de Maisonneuve / St-Laurent),45.51074821798916,-73.56512099504471,11,12,24
Pierre-de-Coubertin / Aird,45.55903106539297,-73.54830354452133,8,11,19
Porte de Québec / St-André,45.51329411414168,-73.55057805776596,8,15,23
Laurier / St-Denis,45.52714838624861,-73.58947947621346,16,6,22
Frontenac / Ste-Catherine,45.53006276144042,-73.54559183120728,9,9,19
Lanaudière / Jean-Talon,45.545350334193245,-73.61032962799072,10,13,23
de Maisonneuve / Mansfield (sud-est),45.50229349416256,-73.5733064264059,12,10,23
Clark / de l'Arcade,45.527371996141,-73.60398352146149,17,2,19
Sherbrooke / Jeanne-d'Arc,45.55398156058887,-73.55496388156098,6,19,27
Robert-Bourassa / René-Lévesque,45.502182909901194,-73.56825381517409,10,23,33
Bennett / Ste-Catherine,45.55315915057821,-73.53263273835182,6,15,21
Métro Papineau (Dorion / De Maisonneuve),45.5238445756922,-73.55236601831166,6,25,32
Duke / Nazareth,45.49572236030835,-73.55461344122887,5,10,15
Parc Molson (d'Iberville / Beaubien),45.54902230455398,-73.59198164194822,7,11,19
de Bellechasse / de Lanaudière,45.539306918976,-73.59521873295307,18,0,19
Notre-Dame  / St-Martin,45.48830194643546,-73.56871783733366,12,7,19
des Érables / Rachel,45.533313304815366,-73.56671154499054,14,5,19
Jean-Talon / de l'Épée,45.527941351769826,-73.62388551235199,10,5,15
Aylwin / Ontario,45.54428297135084,-73.54544162750244,8,19,27
St-Rémi / Ste-Émilie,45.46976497412213,-73.58923405408859,10,16,27
Place Valois (Valois / Ontario),45.54714142711512,-73.54339510202408,16,3,19
St-Denis / de Maisonneuve,45.51433912935237,-73.56168508529663,4,22,26
Métro St-Michel (Shaughnessy / St-Michel),45.55897660298603,-73.59951764345168,5,10,15
Cartier / Marie-Anne,45.53280412806031,-73.57190161943436,23,2,27
St-Grégoire / Christophe-Colomb,45.53255611409675,-73.58993947505951,21,12,35
6e Avenue / Bélanger,45.554582815249745,-73.59631910920143,17,2,19
St-Urbain / Laurier,45.52164617544124,-73.59366774559021,15,3,19
Masson / Molson,45.54434593245247,-73.57697686180472,9,10,19
Molson / Wiliam-Tremblay,45.541602844435374,-73.56496073305605,17,11,29
Roy / St-André,45.521564270906616,-73.57036739587784,13,8,23
Atwater / Sherbrooke,45.4912258547597,-73.58763009309769,16,7,23
Ste-Catherine / Bishop,45.49658063218649,-73.5762146115303,11,8,19
Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),45.49487159597493,-73.57112377882004,3,8,11
Ste-Catherine / Towers,45.49228068089086,-73.58096480369566,10,13,23
Viger / Chenneville,45.50531166520915,-73.56089115142822,5,29,34
Métro Viau ( Pierre-de-Coubertin / Viau),45.56221872617909,-73.54626774787903,16,31,47
Stanley / René-Lévesque,45.49790394592446,-73.57077571808077,15,24,39
de Maisonneuve / Aylmer (ouest),45.505173440423306,-73.5706517100334,20,17,37
de Maisonneuve / Aylmer (est),45.50538591756765,-73.5704317688942,10,11,21
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),45.51401222645779,-73.56598667800426,4,11,15
Métro Joliette  (Hochelaga / Joliette),45.54699194653282,-73.55115339159964,8,21,29
Ottawa / du Séminaire,45.4912954250061,-73.56159925460815,7,16,23
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),45.51487490356938,-73.58486406505108,25,19,47
Clark / Ontario,45.51059890498207,-73.56692545115948,4,15,19
Ste-Émilie / Sir-Georges-Etienne-Cartier,45.472636238971525,-73.58546018600464,0,23,23
Parc St-Henri (Laporte / Guay),45.4801160762769,-73.58560770750046,9,6,15
de Maisonneuve / Mansfield (nord),45.502386079583346,-73.57333794236183,9,9,19
de Maisonneuve / Mansfield (sud),45.502053864057466,-73.57346534729004,5,22,27
Milton / St-Laurent,45.512903912221326,-73.57059180741999,11,9,21
McTavish / Sherbrooke,45.50277615861811,-73.57589408755302,14,32,46
de Bleury / de Maisonneuve,45.50710632433956,-73.56861054897308,12,9,21
Ste-Catherine / Drummond,45.498488900657,-73.57436656951904,10,9,19
de la Montagne / Notre-Dame,45.492913379064625,-73.5646878182888,11,11,23
Jeanne-Mance / René-Lévesque,45.5063713381299,-73.5642009973526,6,52,58
Cathcart / McGill College,45.501187681489775,-73.57045487814501,6,21,27
de la Côte St-Paul / St-Ambroise,45.467665653865964,-73.59391784324544,5,22,27
Marmier / St-Denis,45.53102667048665,-73.59862312674522,20,4,27
Jacques-Casault / Christophe-Colomb,45.551961779348346,-73.6303174495697,8,13,21
des Carrières / Marquette,45.53857953787113,-73.58848571777344,12,13,27
du Havre / Hochelaga,45.53579541676834,-73.55795860291892,3,15,19
St-Hubert / du Mont-Royal,45.525710872858475,-73.58128398656845,17,1,21
Garnier / Beaubien,45.54144823434163,-73.59839379787445,8,6,15
de Maisonneuve / Fullum,45.52797141659334,-73.54948371648788,11,4,17
Hamel / Sauriol,45.56157008176612,-73.65338176488876,9,6,15
Parc Henri-Julien (Legendre/Henri-Julien),45.546128338386644,-73.64650368695946,5,14,19
Ontario / Ville-Marie,45.56001959585449,-73.534934520776,4,15,19
Place d'Youville / McGill,45.49996470926352,-73.55615437030792,12,7,19
Ball / Bloomfield,45.529996997063385,-73.63287091255188,10,1,11
Parc Villeray (Christophe-Colomb / Jarry),45.548513207676116,-73.62365484237671,12,3,15
Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,1,14,15
St-Hubert / de Maisonneuve (nord),45.51613214980722,-73.56049686670303,7,15,23
St-Jacques / McGill,45.50114344835097,-73.56077313423157,3,8,11
Robert-Bourassa / St-Maurice,45.49837045828952,-73.56055587530136,6,17,23
St-Antoine / Jean-Paul Riopelle,45.502939709023714,-73.56064036488532,1,22,23
Complexe sportif Claude-Robillard (Émile-Journault),45.55358456339093,-73.6383855342865,17,2,19
Villeray / de Normanville,45.54718706660108,-73.6184298992157,17,6,23
du Square Dorchester / Peel,45.49969963056761,-73.57193648815155,5,10,15
15e avenue / Laurier,45.55331992800521,-73.56932803988457,10,13,24
de la Commune / Berri,45.51086,-73.54983,6,45,51
de la Commune / St-Sulpice,45.50424245563397,-73.553469479084,17,25,43
CHSLD Robert Cliche (de Bellechasse / 16e avenue),45.557568,-73.579191,5,10,15
St-Jacques / des Seigneurs,45.489185716082275,-73.57190027832984,15,8,23
Richmond / des Bassins,45.48752158511353,-73.56500297784805,21,10,31
Métro Champ-de-Mars (Viger / Sanguinet),45.51025293429709,-73.55677664279938,12,23,35
de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395,21,59,81
St-Antoine / de la Montagne,45.495369835210354,-73.56859177350998,5,14,19
St-Jacques / Guy,45.491366875439965,-73.57010722160338,10,13,23
Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,6,11,17
Métro Mont-Royal (Utilités publiques / Rivard),45.52423612093815,-73.58155220746994,16,6,23
St-Viateur / Casgrain,45.527070404438426,-73.59791234135628,5,5,11
Peel / Notre-Dame,45.49544692088696,-73.56329441070557,12,35,47
Atwater / Greene,45.480495143306044,-73.57782661914825,12,13,25
Georges-Vanier / Notre-Dame,45.485047979822774,-73.5719633102417,8,11,19
de la Commune / King,45.49750375338383,-73.55284452438353,24,47,71
Smith / Peel,45.49276061084002,-73.55641052126883,4,15,19
William / Robert-Bourassa,45.49716534003792,-73.55933010578154,10,11,21
Ottawa / William,45.48972725318433,-73.56406286358833,3,12,15
des Pins / St-Laurent,45.51522812881499,-73.5750961303711,21,2,23
Émile-Duployé / Sherbrooke,45.52719536319051,-73.5645255446434,12,9,23
Métro Atwater (Atwater / Ste-Catherine),45.48952522221574,-73.5844581949641,22,13,35
Complexe Desjardins (St-Urbain / René-Lévesque),45.50788520688478,-73.56315059590997,6,35,41
de Maisonneuve / Mackay,45.496496027653734,-73.57870370149612,2,17,19
du Mont-Royal / de Brébeuf,45.52933653055564,-73.57795268297195,3,8,11
Ste-Catherine / Union,45.50373771539475,-73.56948494911194,20,14,34
